*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      AUG 23, 2017; 14:09:34
                                                                                
*RUN   1        : P1                        MZCER046 0\000000    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : 0\000000 BN Calibracion Cerete 2013                           
 DATA PATH      : C:\L\0\00000                                                  
 TREATMENT  1   : P1                        MZCER046                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2013 133    29    28   13.0      3   1.89   1323    124      0    288   1446   1446      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.20   0.00   0.00      0      0    143.1   1.02   0.00   0.62    2.88    1.46    1.13    0.40    0.04    0.00      0      0      0       0      11 18.70
 2013 134    30    29   14.0      3   2.08   1482    176      0    310   1659   1659      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.15   0.00   0.00      0      0    140.0   1.12   0.00   0.65    3.10    1.65    1.18    0.41    0.05    0.00      0      0      0       0      12 20.05
 2013 135    31    30   14.0      3   2.21   1601    224      0    318   1825   1825      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.10   0.00   0.00      0      0    138.0   1.19   0.00   0.66    3.14    1.71    1.21    0.41    0.06    0.00      0      0      0       0      14 17.55
 2013 136    32    31   15.0      3   2.39   1765    305      0    338   2070   2070      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.05   0.00   0.00      0      0    135.4   1.29   0.00   0.68    3.26    1.86    1.29    0.43    0.07    0.00      0      0      0       0      15 19.85
 2013 137    33    32   15.0      3   2.48   1847    352      0    343   2199   2199      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.00   0.00   0.00      0      0    134.2   1.34   0.00   0.70    3.27    1.90    1.32    0.43    0.08    0.00      0      0      0       0      17 17.05
 2013 138    34    33   16.0      3   2.65   2009    462      0    402   2472   2472      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.95   0.00   0.00      0      0    132.1   1.43   0.00   0.72    3.48    2.29    1.61    0.48    0.12    0.00      0      0      0       0      19 19.10
 2013 139    35    34   16.0      3   2.76   2109    540      0    410   2648   2648      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.90   0.00   0.00      0      0    130.9   1.49   0.00   0.74    3.50    2.33    1.64    0.49    0.13    0.00      0      0      0       0      21 17.35
 2013 140    36    35   17.0      3   2.93   2267    681      0    453   2949   2949      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.86   0.00   0.00      0      0    129.0   1.58   0.00   0.76    3.63    2.59    1.82    0.53    0.19    0.00      0      0      0       0      23 18.20
 2013 141    37    36   17.0      3   3.03   2367    782      0    462   3150   3150      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.81   0.00   0.00      0      0    127.9   1.60   0.00   0.78    3.62    2.63    1.86    0.55    0.21    0.00      0      0      0       0      25 17.30
 2013 142    38    37   18.0      3   3.17   2501    931      0    475   3433   3436      0    0.0  0.000      3      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.73   0.00   0.00      0      3    126.6   1.60   0.00   0.80    3.60    2.66    1.90    0.57    0.25    0.01      0      0      0       0      27 19.10
